framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,linear,278,4632,12,0.8318,0.031,471.3,336.2,29.798,,,0.016401,True
ezkl,linear,279,4632,12,0.7823,0.0305,476.8,338.3,29.812,,,0.046854,True
ezkl,linear,280,4632,12,0.8849,0.0303,467.9,336.2,29.79,,,0.027049,True
ezkl,linear,281,4632,12,0.7704,0.0339,479.0,338.1,29.832,,,0.195795,True
ezkl,linear,282,4632,12,0.7675,0.0315,479.4,338.3,29.818,,,0.025277,True
ezkl,linear,283,4632,12,0.8467,0.0317,480.7,335.4,29.762,,,0.011107,True
ezkl,linear,284,4632,12,0.8085,0.0311,463.8,338.4,29.826,,,0.017689,True
ezkl,linear,285,4632,12,1.0381,0.0333,417.1,338.3,29.747,,,0.00784,True
ezkl,linear,286,4632,12,0.8218,0.0344,480.7,338.3,29.748,,,0.015587,True
ezkl,linear,287,4632,12,0.8126,0.0299,494.7,337.9,29.856,,,0.0082,True
ezkl,linear,288,4632,12,0.839,0.0304,481.5,338.2,29.784,,,0.015914,True
ezkl,linear,289,4632,12,0.8136,0.03,485.5,338.4,29.811,,,0.021132,True
ezkl,linear,290,4632,12,0.7931,0.0267,490.5,341.5,29.847,,,0.012761,True
ezkl,linear,291,4632,12,0.8071,0.028,494.4,341.4,29.729,,,0.012165,True
ezkl,linear,292,4632,12,0.8148,0.0286,481.1,341.4,29.723,,,0.008781,True
ezkl,linear,293,4632,12,0.8672,0.0281,467.0,341.3,29.824,,,0.016328,True
ezkl,linear,294,4632,12,0.8103,0.031,478.8,341.4,29.802,,,0.027287,True
